App No.	Attorney	Case Ref	Client	Applicant name	Status
	Nguyễn Thị Mỹ Hương	IP/PR17677			
	Nguyễn Thị Thu Hiền	IP/PR17676	CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY VINROBOTICS	Tập đoàn Vingroup - Công ty CP	
	Đặng Thị Phương Dung	IP/PR17675			
	Nguyễn Phi Long	IP/PR17674	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Phạm Hiếu Thắng	IP/PR17673	Lee & Ko IP	LG ENERGY SOLUTION, LTD.	
	Phạm Hiếu Thắng	IP/PR17672	Lee & Ko IP	LG ENERGY SOLUTION, LTD.	
	Nguyễn Phi Long	IP/PR17671	PHIL & ONZI Int'l Patent & Law Firm	LG ENERGY SOLUTION, LTD.	
	Ngô Thị Phương Hoa	IP/PR17670	PHIL & ONZI Int'l Patent & Law Firm	LG ENERGY SOLUTION, LTD.	
	Nguyễn Hoàng Anh	IP/PR17669	Spruson & Ferguson (Asia) Pte Ltd	CARBON, INC.	
	Phạm Hiếu Thắng	IP/PR17668	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Ngô Lệ Quyên	IP/PR17667	Spruson & Ferguson (Asia) Pte Ltd	VALLISCOR, LLC	
	Nguyễn Phi Long	IP/PR17666/DV	IP Advokat Group Pty Ltd	PT BLINK LIMITED	Filed
	Nguyễn Phi Long	IP/PR17665	PHIL & ONZI Int'l Patent & Law Firm	LG ENERGY SOLUTION, LTD.	
	Lã Quỳnh Nga	IP/PR17664	UNITALEN ATTORNEYS AT LAW	DONGGUAN LJV TECHNOLOGY CO., LTD.	
	Nguyễn Thùy Dương	IP/PR17663/H	Dority & Manning	W.R. GRACE & CO.-CONN.	
	Phạm Hiếu Thắng	IP/PR17662	Lee & Ko IP	LG ENERGY SOLUTION, LTD.	
	Lã Quỳnh Nga	IP/PR17661	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	
	Phạm Hiếu Thắng	IP/PR17660	KIP Patent Law Firm	LG ENERGY SOLUTION, LTD.	
	Nguyễn Vũ Nam	IP/PR17659	WOOD & WU Patent and Trademark Office	Sanyang Motor Co., Ltd.	
	Lê Nguyệt Hạ Phượng	IP/PR17658	Pizzeys Patent and Trademark Attorneys	Revolution Medicines, Inc.	
	Nguyễn Phi Long	IP/PR17657	KIP Patent Law Firm	LG ENERGY SOLUTION, LTD.	
	Ngô Thị Phương Hoa	IP/PR17656	KIP Patent Law Firm	LG ENERGY SOLUTION, LTD.	
	Phạm Hiếu Thắng	IP/PR17655	KIP Patent Law Firm	LG ENERGY SOLUTION, LTD.	
	Nguyễn Phi Long	IP/PR17654	PHIL & ONZI Int'l Patent & Law Firm	LG ENERGY SOLUTION, LTD.	
